Title,Summary,EventDate,DatePrecision,Category,Importance,SourceType,SourceKey,SourceUrl
"Queen at Woods Leisure Centre, Colchester, UK","Queen performed at Woods Leisure Centre in Colchester, UK.",1974-03-24,ExactDate,Concert,30,Curated,queenconcerts-89,https://www.queenconcerts.com/detail/live/89/queen-live-24-03-1974-woods-leisure-centre-colchester-uk.html
"Queen at University, Aberystwyth, UK","Queen performed at University in Aberystwyth, UK.",1974-03-28,ExactDate,Concert,30,Curated,queenconcerts-91,https://www.queenconcerts.com/detail/live/91/queen-live-28-03-1974-university-aberystwyth-uk.html
"Queen at The Garden, Penzance, UK","Queen performed at The Garden in Penzance, UK.",1974-03-29,ExactDate,Concert,30,Curated,queenconcerts-92,https://www.queenconcerts.com/detail/live/92/queen-live-29-03-1974-the-garden-penzance-uk.html
"Queen at County Ballroom, Taunton, UK","Queen performed at County Ballroom in Taunton, UK.",1974-03-30,ExactDate,Concert,30,Curated,queenconcerts-93,https://www.queenconcerts.com/detail/live/93/queen-live-30-03-1974-county-ballroom-taunton-uk.html
"Queen at Barbarella's, Birmingham, UK","Queen performed at Barbarella's in Birmingham, UK.",1974-04-02,ExactDate,Concert,30,Curated,queenconcerts-95,https://www.queenconcerts.com/detail/live/95/queen-live-02-04-1974-barbarellas-birmingham-uk.html
"Queen at Memorial Hall, Kansas City, USA","Queen performed at Memorial Hall in Kansas City, USA.",1974-04-17,ExactDate,Concert,30,Curated,queenconcerts-97,https://www.queenconcerts.com/detail/live/97/queen-live-17-04-1974-memorial-hall-kansas-city-ks-usa.html
"Queen at Kiel Auditorium, St. Louis, USA","Queen performed at Kiel Auditorium in St. Louis, USA.",1974-04-18,ExactDate,Concert,30,Curated,queenconcerts-98,https://www.queenconcerts.com/detail/live/98/queen-live-18-04-1974-kiel-auditorium-st-louis-mo-usa.html
"Queen at Fairgrounds Appliance Building, Oklahoma City, USA","Queen performed at Fairgrounds Appliance Building in Oklahoma City, USA.",1974-04-19,ExactDate,Concert,30,Curated,queenconcerts-99,https://www.queenconcerts.com/detail/live/99/queen-live-19-04-1974-fairgrounds-appliance-building-oklahoma-city-ok-usa.html
"Queen at Mid South Coliseum, Memphis, USA","Queen performed at Mid South Coliseum in Memphis, USA.",1974-04-20,ExactDate,Concert,30,Curated,queenconcerts-100,https://www.queenconcerts.com/detail/live/100/queen-live-20-04-1974-mid-south-coliseum-memphis-tn-usa.html
"Queen at St. Bernard Parish Civic Auditorium, New Orleans, USA","Queen performed at St. Bernard Parish Civic Auditorium in New Orleans, USA.",1974-04-21,ExactDate,Concert,30,Curated,queenconcerts-101,https://www.queenconcerts.com/detail/live/101/queen-live-21-04-1974-st-bernard-parish-civic-auditorium-new-orleans-la-usa.html
